Latitude,Longitude,Station_CHI,Station_ENG,Exit,Description_CHI
22.277386,114.1732833,灣仔,Wan Chai,A4,____
22.2909529,114.2004094,北角,North Point,B1,
22.2822053,114.2223492,西灣河,Sai Wan Ho,A,
22.2790119,114.2293173,筲箕灣,Shau Kei Wan,Main,
22.2638697,114.2368875,柴灣,Chai Wan,A,____
22.2767999,114.1733505,灣仔,Wan Chai,A3,____
22.2774123,114.1726664,灣仔,Wan Chai,B1,____
22.278067,114.1728885,灣仔,Wan Chai,C,___
22.2818123,114.1572702,中環,Central,D1,___
22.2824897,114.1575643,中環,Central,B,____
22.3348737,114.1572049,長沙灣,Cheung Sha Wan,A3,
22.3034734,114.166699,柯士甸,Austin,D2,
22.3953565,113.9734402,屯門,Tuen Mun,D,
22.2942873,114.1726039,尖東,East Tsim Sha Tsui,J3,
22.2971488,114.1754008,尖東,East Tsim Sha Tsui,P3,
22.2850915,114.2152014,太古,Tai Koo,A1,
22.2910096,114.2004944,北角,North Point,B1,
22.2805978,114.1842425,銅鑼灣,Causeway Bay,D1,____
22.2798881,114.1844365,銅鑼灣,Causeway Bay,F1,___
22.3066677,114.2336348,藍田,Lam Tin,B,_______
22.3060808,114.2336331,藍田,Lam Tin,C,____
22.3080086,114.2343281,藍田,Lam Tin,A,___
22.3072166,114.2320816,藍田,Lam Tin,D2,____
22.288128,114.2098504,鰂魚涌,Quarry Bay,Main,
22.2973001,114.1762512,尖東,East Tsim Sha Tsui,P2,
22.2785189,114.1647676,金鐘,Admiralty,C1,___
22.2962118,114.1703632,尖沙咀,Tsim Sha Tsui,L5,
22.2951015,114.1706378,尖沙咀,Tsim Sha Tsui,L6,
22.3741051,114.1161059,荃灣,Tsuen Wan,A3,
22.3203941,114.1696731,旺角,Mong Kok,B2,
22.3194348,114.1695494,旺角,Mong Kok,D1,
22.3201894,114.1686505,旺角,Mong Kok,A2,
22.3191447,114.1700803,旺角,Mong Kok,D3,
22.3189982,114.1686758,旺角,Mong Kok,C3,
22.3203356,114.1693592,旺角,Mong Kok,B1,
22.3205221,114.1697125,旺角,Mong Kok,B3,
22.3191127,114.1688279,旺角,Mong Kok,C4,
22.31836,114.1698389,旺角,Mong Kok,E2,
22.31929,114.168861,旺角,Mong Kok,C2,
22.3194812,114.1698266,旺角,Mong Kok,D2,
22.3202353,114.1689752,旺角,Mong Kok,A1,
22.3193442,114.1691704,旺角,Mong Kok,C1,
22.3182653,114.1693237,旺角,Mong Kok,E1,
22.3138159,114.1702379,油麻地,Yau Ma Tei,A1,
22.3130003,114.1701134,油麻地,Yau Ma Tei,B2,
22.3139072,114.1707603,油麻地,Yau Ma Tei,A2,A2__
22.3130606,114.1704365,油麻地,Yau Ma Tei,B1,
22.3129306,114.170922,油麻地,Yau Ma Tei,D,
22.3117934,114.1707101,油麻地,Yau Ma Tei,C,___
22.2917,114.20033,北角,North Point,A4,
22.3186308,114.1605256,奧運,Olympic,B,________
22.3226497,114.2141747,九龍灣,Kowloon Bay,A,
22.2972731,114.174343,尖東,East Tsim Sha Tsui,N3,
22.2971701,114.1737076,尖沙咀,Tsim Sha Tsui,N4,
22.2818243,114.1577864,中環,Central,G,____
22.2819661,114.1570574,中環,Central,D2,___
22.2822161,114.1574634,中環,Central,C,____
22.282714,114.1579391,中環,Central,A,____
22.3218213,114.2582024,寶琳,Po Lam,B2,_______
22.3229134,114.2573934,寶琳,Po Lam,A1,_______
22.3996735,114.2035406,馬場,Racecourse,A,_______1_2_
22.4001296,114.2033472,馬場,Racecourse,B,_______3_4_
22.4007925,114.2039171,馬場,Racecourse,C,_______5_6_
22.4442524,114.1708013,大埔墟,Tai Po Market,B,
22.3723948,114.1771724,大圍,Tai Wai,G,___
22.3117103,114.226076,觀塘,Kwun Tong,B3,
22.3122324,114.226911,觀塘,Kwun Tong,C2,
22.3123897,114.2268944,觀塘,Kwun Tong,C1,
22.357133,114.1278752,葵芳,Kwai Fong,E,
22.3385739,114.1368489,美孚,Mei Foo,F,
22.3181685,114.1612656,奧運,Olympic,C5,___
22.3364463,114.1551577,長沙灣,Cheung Sha Wan,C2,
22.3357335,114.1553734,長沙灣,Cheung Sha Wan,B,
22.290696,114.2006776,北角,North Point,B4,
22.2910383,114.2006342,北角,North Point,B2,
22.2911066,114.2009802,北角,North Point,B3,
22.2985307,114.2367112,油塘,Yau Tong,B1,___
22.2984539,114.2365798,油塘,Yau Tong,B2,____
22.2971312,114.237768,油塘,Yau Tong,A1,___
22.2970443,114.2376312,油塘,Yau Tong,A2,___
22.3381945,114.1877115,樂富,Lok Fu,A,
22.2983158,114.1719412,尖沙咀,Tsim Sha Tsui,A1,____
22.3316724,114.1689901,石硤尾,Shek Kip Mei,B2,___
22.331674,114.16853,石硤尾,Shek Kip Mei,A,___
22.3327479,114.1688149,石硤尾,Shek Kip Mei,C,___
22.3314751,114.1691738,石硤尾,Shek Kip Mei,B1,___
22.307009,114.2590326,將軍澳,Tseung Kwan O,B1,
22.3071034,114.2589954,將軍澳,Tseung Kwan O,B2,
22.3076198,114.2608441,將軍澳,Tseung Kwan O,A2,
22.3074614,114.2599109,將軍澳,Tseung Kwan O,C,
22.3077187,114.2608051,將軍澳,Tseung Kwan O,A1,
22.3730449,114.1780568,大圍,Tai Wai,D,____
22.3723944,114.1777152,大圍,Tai Wai,F,___
22.3726634,114.1780439,大圍,Tai Wai,C,___
22.3726206,114.1775485,大圍,Tai Wai,E,____
22.3729463,114.1793291,大圍,Tai Wai,B,_______
22.3881124,114.2086273,第一城,City One,C,____
22.3874181,114.2082235,第一城,City One,B,______
22.3875433,114.2080651,第一城,City One,A,_____
22.3879701,114.2087676,第一城,City One,D,______
22.3957215,114.1986725,火炭,Fo Tan,C,___
22.3947205,114.198033,火炭,Fo Tan,A,______
22.3959888,114.1981112,火炭,Fo Tan,D,____
22.3949228,114.1976498,火炭,Fo Tan,B,______
22.4343131,114.0639519,錦上路,Kam Sheung Road,C,___
22.4341584,114.0636915,錦上路,Kam Sheung Road,D,___
22.4355296,114.0630862,錦上路,Kam Sheung Road,B,___
22.4353707,114.0628458,錦上路,Kam Sheung Road,A,______
22.4918273,114.1387823,粉嶺,Fanling,B,
22.340067,114.200328,鑽石山,Diamond Hill,A2,
22.3409759,114.2009049,鑽石山,Diamond Hill,A1,
22.3401757,114.2025474,鑽石山,Diamond Hill,C2,
22.3392836,114.2021696,鑽石山,Diamond Hill,B,
22.3164648,113.9365117,機場,Airport,G,
22.3573828,114.1280643,葵芳,Kwai Fong,D,
22.3572648,114.1282665,葵芳,Kwai Fong,A,
22.3486098,114.1256664,荔景,Lai King,B,
22.3482531,114.1263049,荔景,Lai King,A3,
22.4137195,114.2098955,大學,University,A,______
22.4151207,114.2106771,大學,University,D,_____
22.2767764,114.239914,杏花邨,Heng Fa Chuen,A,
22.3218065,114.2582995,寶琳,Po Lam,B3,___
22.3343071,114.1572266,長沙灣,Cheung Sha Wan,A1,
22.3349211,114.1578104,長沙灣,Cheung Sha Wan,A2,
22.3356151,114.1565083,長沙灣,Cheung Sha Wan,C1,
22.327799,114.153593,南昌,Nam Cheong,A1,
22.3262365,114.1526711,南昌,Nam Cheong,B,
22.3256549,114.155216,南昌,Nam Cheong,D1,
22.3249965,114.1543017,南昌,Nam Cheong,C,
22.3319892,114.028623,欣澳,Sunny Bay,A,
22.4076764,114.2224323,大水坑,Tai Shui Hang,B,____
22.407774,114.222245,大水坑,Tai Shui Hang,A,___
22.2922475,114.2002722,北角,North Point,A1,___
22.5013549,114.1276038,上水,Sheung Shui,A1,
22.4506191,114.1609177,太和,Tai Wo,A,____
22.4442135,114.1700938,大埔墟,Tai Po Market,A3,____
22.3483266,114.1264211,荔景,Lai King,A2,
22.3479946,114.1265811,荔景,Lai King,A1,
22.3150707,114.2187248,牛頭角,Ngau Tau Kok,B5,
22.3149852,114.2184925,牛頭角,Ngau Tau Kok,B6,
22.2883628,114.2102822,鰂魚涌,Quarry Bay,Main,
22.2878025,114.2099511,鰂魚涌,Quarry Bay,A,
22.2884664,114.2104384,鰂魚涌,Quarry Bay,Main,
22.2884556,114.2099323,鰂魚涌,Quarry Bay,Main,
22.2905784,114.207926,鰂魚涌,Quarry Bay,C,___
22.2788325,114.2297429,筲箕灣,Shau Kei Wan,C,
22.2795218,114.2282746,筲箕灣,Shau Kei Wan,B3,
22.279745,114.2288415,筲箕灣,Shau Kei Wan,D2,
22.2786931,114.2286872,筲箕灣,Shau Kei Wan,A2,
22.2798298,114.2298752,筲箕灣,Shau Kei Wan,B2,
